Movie Title
" With Bill Simmons, Chris Ryan, and Bill"
10 Things I Hate About You
25th Hour
48 Hrs
8MM
A Bronx Tale
A Few Good (Re)Men
A Few Good Men
A League of Their Own
A Star Is Born
Above the Rim
Adventureland
After Hours
Alien
Alive
All the President
Along Came Polly
American Gigolo
American Pie
An Officer and a Gentleman
Any Given Sunday
Argo
Armageddon
Austin Powers: International Man of Mystery
Austin Powers: The Spy Who Shagged Me
Back to the Future
Back to the Future Part II
Bad Boys
Basic Instinct
Batman
Before Sunrise
Before Sunset
Best in Show
Beverly Hills Cop
Beverly Hills Cop II
Big
Big Daddy
Blackhat
Blood Diamond
Bloodsport
Blow Out
Blue Chips
Body Double
Body Heat
Boogie Nights
Boomerang
Boyz n the Hood
Breaking Away
Bridesmaids
Broadcast News
Butch Cassidy and the Sundance Kid
Caddyshack
Can
Cape Fear
Casino
Casino Royale
Cast Away
Catch Me If You Can
Chef
City Slickers
Cliffhanger
Close Encounters of the Third Kind
Cobra
Cocktail
Collateral
Coming to America
Commando
Contagion
Cop Land
Country Strong
Crash
Creed
Crimson Tide
Cruel Intentions
Cruising
Dangerous Minds
"Dave,"
Days of Thunder
Dazed and Confused
Dead Poets Society
Death Wish
Deliverance
Den of Thieves
Die Hard 2
Die Hard With a Vengeance
Dirty Work
Disclosure
Do The Right Thing
Dodgeball
Draft Day
Dumb and Dumber
Dunkirk
E.T. the Extra-Terrestrial
Easy A
Enemy of the State
Escape From New York
Eyes Wide Shut
Fast Five
Fast Times at Ridgemont High
Fatal Attraction
Father of the Bride
Ferris Bueller
Field of Dreams
Fight Club
First Blood
Fletch
Flight
Focus
For Love of the Game
Forgetting Sarah Marshall
Forrest Gump
Friday Night Lights
Furious 7
Get Out
Ghost
Gladiator
Glengarry Glen Ross
Good Will Hunting
Goodfellas
Grease
Groundhog Day
Halloween
Halloween 4
Happy Gilmore
Hard to Kill
Hardball
Hardcore
He Got Game
Heat
Heaven Can Wait
Hereditary
Higher Learning
Home Alone
Home Alone 2: Lost in New York
Hoosiers
I Am Legend
In the Line of Fire
Indecent Proposal
Independence Day
Indiana Jones and the Last Crusade
Inglourious Basterds
Inside Man
Insidious
Internal Affairs
Iron Man
JFK
Jerry Maguire
John Wick
John Wick: Chapter 2
Juice
Kicking and Screaming (1995)
King of New York
Knocked Up
Kramer vs. Kramer
Legally Blonde
Lethal Weapon
Lethal Weapon 2
Limitless
Lost in Translation
Love and Basketball
Magnolia
Major League
Man on Fire
Manchester by the Sea
Manhunter
Margin Call
Mean Girls
Meet the Parents
Memento
Minority Report
Miracle
Misery
Mission: Impossible - Fallout
Moneyball
Mr. Holland
Mr. Mom
Mr. and Mrs. Smith
Mrs. Doubtfire
My Best Friend
My Cousin Vinny
National Lampoon
Neighbors
New Jack City
Night Shift
No Country for Old Men
No Way Out
Notting Hill
Ocean
Old School
Once Upon a Time … in Hollywood
Ordinary People
Out for Justice
Out of Sight
Over The Top
Panic Room
Parenthood
Philadelphia
Pineapple Express
Pitch Perfect
"Planes, Trains, and Automobiles"
Point Break
Poltergeist
Predator
Pretty Woman
Primal Fear
Project X
Proof of Life
Pulp Fiction
Pump Up the Volume
Purple Rain
Rachel Getting Married
Raiders of the Lost Ark
Rain Man
Ransom
Reality Bites
Remember The Titans
Reservoir Dogs
Risky Business
Road House
Robin Hood: Prince of Thieves
Rocky
Rocky III
Rocky IV
Ronin
Rounders
Rudy
Running Scared
Saturday Night Fever
Saving Private Ryan
Say Anything
Scent of a Woman
School Ties
Se7en
Sea of Love
Searching for Bobby Fischer
Shooter
Shot Caller
Sideways
Silver Linings Playbook
Singles
Skyfall
Slap Shot
Sleeping With the Enemy
Sleepless in Seattle
So I Married an Axe Murderer
Someone to Watch Over Me
Spider-Man
Spotlight
St. Elmo
Stand By Me
Star Wars: A New Hope
Sudden Death
Superbad
Swingers
Tango and Cash
Taxi Driver
Teen Wolf
Terminator 2: Judgment Day
The 40-Year-Old Virgin
The American President
The Bad News Bears
The Big Chill
The Blair Witch Project
The Blues Brothers
The Bodyguard
The Bourne Identity
The Breakfast Club
The Color of Money
The Conjuring
The Departed
The Devil
The Doors
The Edge
The Exorcist
The Fast and the Furious
The Firm
The Fugitive
The Gambler
The Game
The Godfather
The Godfather Part II
The Godfather Part III
The Grand Budapest Hotel
The Hangover
The Holiday
The Ice Storm
The Insider
The Karate Kid
The Last Boy Scout
The Last Days of Disco
The Last of the Mohicans
The Martian
The Naked Gun
The Natural
The Notebook
The Pelican Brief
The Perfect Storm
The Program
The Purge
The Re-Departed
The Re-Heat
The Replacements
The Rewatchables
The Rock
The Royal Tenenbaums
The Running Man
The Saint
The Sandlot
The Shining
The Silence of the Lambs
The Sixth Sense
"The Talented Mr. Ripley,"
The Terminator
The Town
The Untouchables
The Usual Suspects
The Vanishing
The Verdict
The War of the Roses
The Warriors
The Wolf of Wall Street
There Will Be Blood
They Live
Thief
This Is the End
Titanic
Tombstone
Tommy Boy
Top Gun
Top Gun: Maverick
Total Recall
Toy Soldiers
Toy Story
Trading Places
Trainspotting
True Lies
Twister
Under Siege
Unfaithful
Unforgiven
Unstoppable
Varsity Blues
Victory
Vision Quest
Wall Street
Warrior
Wayne
What About Bob?
When Harry Met Sally
While You Were Sleeping
Whiplash
White Men Can
Working Girl
