Title
127 Hours
The 13th Warrior
1941
2 Fast 2 Furious
28 Days Later
28 Weeks Later
28 Years Later
2001: A Space Odyssey
2010: The Year We Make Contact
A.I. Artificial Intelligence
Abduction
The Abyss
The Adventures of Tintin
After Earth
Aladdin
Aladdin and the King of Thieves
Ali
Alice in Wonderland
Alien
Alien: Covenant
Alien: Resurrection
Alien³

Alien vs. Predator
Aliens vs. Predator: Requiem
Aliens

Aliens of the Deep
All That Jazz
Allied
Almost Famous
Aloha
Always
"Amazing Stories
See The Family Dog"
Amblin'
American Graffiti
Amistad
Analyze That
Analyze This
"And All Through the House
(Tales from the Crypt)"
An Angel at My Table
The Animatrix
Ant-Man
Ant-Man and the Wasp
Aquaman
Aquaman and the Lost Kingdom
Army of Darkness
As Good As It Gets
Assassin's Creed
Assault on Precinct 13
"Attack of the Clones
See Star Wars Episode II: Attack of the Clones"
Austin Powers: International Man of Mystery
Austin Powers: The Spy Who Shagged Me
Austin Powers in Goldmember
Avatar
Avatar: The Way of Water
The Avengers
Avengers: Age of Ultron
Avengers: Endgame
Avengers: Infinity War
Babe
Babe: Pig in the City
Baby Boy
Back to the Future
Back to the Future Part II
Back to the Future Part III
"The Balloonatic
(Buster Keaton Shorts)"
Barry Lyndon
Basic Instinct
Battle for the Planet of the Apes
Batman
Batman
The Batman
Batman & Robin
Batman Begins
Batman Forever
Batman Returns
Batman v Superman: Dawn of Justice

Batman: Mask of the Phantasm
Battleship
Battling Butler
The Beach
Beetlejuice
Beetlejuice Beetlejuice
Beloved
Beneath the Planet of the Apes
Benedetta
Beowulf
Beverly Hills Cop
Bewitched
Beyond the Lights
The BFG
Big Eyes
Big Fish
Big Trouble in Little China
Billy Lynn's Long Halftime Walk
Birds of Prey
Black Panther
Blackhat
Blank Check
Blue Steel
Blue Velvet
Body Bags
The Book of Henry
Bound
The Boy and the Heron
Boyz n the Hood
Breaking Dawn — Part 1
Breaking Dawn — Part 2
Bridge of Spies
Bright Star
Broadcast News
Brokeback Mountain
The Buried Secret of M. Night Shyamalan
Cabaret
Caged Heat
The Cameraman
Captain America: Civil War
Captain America: The First Avenger
Captain America: The Winter Soldier
Captain Marvel
Cast Away
Castle in the Sky
The Castle of Cagliostro
Cats
Catch Me If You Can
Charlie and the Chocolate Factory
Chosen - The Hire
Christine
A Christmas Carol
The Chronicles of Riddick
Citizens Band
Clifford

A Clockwork Orange
The Clone Wars
Close Encounters of the Third Kind
Cloud Atlas
Clue
Clueless
Collateral
College
The Color Purple
"Confess, Fletch"
Conquest of the Planet of the Apes
Contact
"The Cook
(Buster Keaton Shorts)"
Cops
Coraline
Corpse Bride
Crazy Mama
Crimewave
Crocodile Dundee
Crocodile Dundee II
Crocodile Dundee in Los Angeles
"Crouching Tiger, Hidden Dragon"
The Curious Case of Benjamin Button
Dances with Wolves
The Dark Knight
The Dark Knight Rises
Dark Shadows
Dark Star
"Dark Territory
See Under Seige 2: Dark Territory"
Darkman
Death Becomes Her
Decision to Leave
Detroit
The Devil Wears Prada
